"ep_no","series_ep_code","title","air_date"
"469","s12e07","Insecurity Guards","2019-06-29"
"470","s12e08","Broken Alarm","2019-07-06"
"471","s12e09","Senior Discount","2019-07-06"
"472","s12e10","SpongeBob's Big Birthday Blowout","2019-07-12"
"473","s12e11","Gary & Spot","2019-07-27"
"474","s12e12","Gary's Got Legs","2019-07-27"
"475","s12e13","The Krusty Bucket","2019-08-10"
"476","s12e14","Karen’s Baby","2019-08-10"
"477","s12e15","Mind the Gap","2019-09-14"
"478","s12e16","Breakin'","2019-09-14"
"479","s12e17","SpongeBob in RandomLand","2019-09-21"
"480","s12e18","SpongeBob's Bad Habit","2019-09-21"
"481","s12e19","The Goofy Newbie","2019-09-28"
"482","s12e20","Squid's on a Bus","2019-09-28"
"483","s12e21","The Ghost of Plankton","2019-10-12"
"484","s12e22","A Cabin in the Kelp","2019-10-12"
"485","s12e23","Dirty Bubble Returns","2019-11-23"
"486","s12e24","Handemonium","2019-11-23"
"487","s12e25","Plankton's Old Chum","2019-11-30"
"488","s12e26","The Hankering","2019-11-30"
"489","s12e27","Escape from Beneath Glove World","2020-01-18"
"490","s12e28","Who R Zoo?","2020-02-08"
"491","s12e29","Biddy Sitting","2020-02-08"
"492","s12e30","Shell Games","2020-03-07"
"493","s12e31","Jolly Lodgers","2020-03-07"
"494","s12e32","Swamp Mates","2020-04-11"
"495","s12e33","One Trick Sponge","2020-04-11"
"496","s12e34","Boss for a Day","2020-07-17"
"497","s12e35","Pineapple RV","2020-07-17"
"498","s13e01","A Place for Pets","2020-10-22"
"499","s13e02","Lockdown for Love","2020-10-22"
"500","s13e03","Krusty Koncessionaires","2020-11-07"
"501","s13e04","Dream Hoppers","2020-11-07"
"502","s13e05","My Two Krabses","2021-01-18"
"503","s13e06","Lighthouse Louie","2021-01-18"
"504","s13e07","Bubble Bass’s Tab","2021-04-09"
"505","s13e08","Kooky Cooks","2021-04-09"
"506","s13e09","Under the Small Top","2021-04-16"
"507","s13e10","Squidward's Sick Daze","2021-04-16"
"508","s13e11","Knock Knock, Who’s There?","2021-04-23"
"509","s13e12","Plankton’s Intern","2021-04-30"
"510","s13e13","Pat the Dog","2021-07-09"
"511","s13e14","Pat Hearts Squid","2021-07-09"
"512","s13e15","Something Narwhal This Way Comes","2021-11-19"
"513","s13e16","C.H.U.M.S","2021-11-19"
"514","s13e17","SpongeBob's Road to Christmas","2021-12-10"
"515","s13e18","Patrick’s Tantrum","2022-02-25"
"516","s13e19","Goofy Scoopers","2022-02-25"
"517","s13e20","Hiccup Plague","2022-04-22"
"518","s13e21","Potato Puff","2022-04-22"
"519","s13e22","There Will Be Grease","2022-04-29"
"520","s13e23","Kwarantined Krab","2022-04-29"
"521","s13e24","The Big Bad Bubble Bass","2022-05-06"
"522","s13e25","Sea-Man Sponge Haters Club","2022-05-06"
"523","s13e26","Food PBBFT! Truck","2022-05-13"
"524","s13e27","Upturn Girls","2022-05-13"
"525","s13e28","Say Awww!","2022-05-20"
"526","s13e29","Patrick the Mailman","2022-05-20"
"527","s13e30","Captain Pipsqueak","2022-07-22"
"528","s13e31","Plane to Sea","2022-07-22"
"529","s13e32","Squidferatu","2022-10-14"
"530","s13e33","Slappy Daze","2022-10-14"
"531","s13e34","Welcome to Binary Bottom","2023-01-13"
"532","s13e35","You're Going to Pay... Phone","2023-01-13"
"533","s13e36","A Skin Wrinkle in Time","2023-01-13"
"534","s13e37","Abandon Twits","2023-01-20"
"535","s13e38","Wallhalla","2023-01-20"
"536","s13e39","The Salty Sponge","2023-01-27"
"537","s13e40","Karen for Spot","2023-02-03"
"538","s13e41","Ma and Pa’s Big Hurrah","2023-03-10"
"539","s13e42","Yellow Pavement","2023-03-17"
"540","s13e43","The Flower Plot","2023-03-24"
"541","s13e44","SpongeBob’s on Parade","2023-03-31"
"542","s13e45","Delivery to Monster Island","2023-04-07"
"543","s13e46","Ride Patrick Ride","2023-06-19"
"544","s13e47","Hot Crossed Nuts","2023-06-20"
"545","s13e48","Sir Urchin and Snail Fail","2023-06-21"
"546","s13e49","Friendiversary","2023-06-22"
"547","s13e50","Mandatory Music","2023-06-26"
"548","s13e51","Arbor Day Disarray","2023-06-27"
"549","s13e52","Ain’t That the Tooth","2023-06-28"
"550","s13e53","Dopey Dick","2023-06-29"
"551","s13e54","Plankton and the Beanstalk","2023-07-17"
"552","s13e55","My Friend Patty","2023-07-18"
"553","s13e56","FUN-Believable","2023-07-19"
"554","s13e57","Spatula of the Heavens","2023-07-20"
"555","s13e58","Gary’s Playhouse","2023-08-07"
"556","s13e59","Swimming Fools","2023-08-08"
"557","s13e60","The Goobfather","2023-08-09"
"558","s13e61","SquidBird","2023-08-10"
"559","s13e62","Allergy Attack!","2023-10-30"
"560","s13e63","Big Top Flop","2023-10-31"
"561","s13e64","Sandy, Help Us!","2023-11-01"
"562","s14e01","Single-Celled Defense","2023-11-02"
"563","s14e02","Buff for Puff","2023-11-20"
"564","s14e03","We Heart Hoops","2023-11-21"
"565","s14e04","SpongeChovy","2023-11-22"
"566","s14e05","BassWard","2023-11-23"
"567","s14e06","Squidiot Box","2024-02-12"
"568","s14e07","Don't Make Me Laugh","2024-02-12"
"569","s14e08","Momageddon","2024-02-14"
"570","s14e09","Pet the Rock","2024-02-14"
"571","s14e10","Tango Tangle","2024-02-20"
"572","s14e11","Necro-Nom-Nom-Nom-I-Con","2024-02-26"
"573","s14e12","Blood Is Thicker Than Grease","2024-07-15"
"574","s14e13","PL-1413","2024-07-15"
"575","s14e14","In the Mood to Feud","2024-07-16"
"576","s14e15","Mooned!","2024-07-17"
"577","s14e16","Hysterical History","2024-07-18"
"578","s14e17","The Dirty Bubble Bass","2024-07-22"
"579","s14e18","Sheldon SquarePants","2024-07-23"
"580","s14e19","Sammy Suckerfish","2024-07-24"
"581","s14e20","Big League Bob","2024-07-25"
"582","s14e21","Kreepaway Kamp","2024-10-10"
"583","s14e22","Snow Yellow","2024-11-11"
"584","s14e23","Sandy's Country Christmas","2024-12-02"
"585","s15e01","UpWard","2024-12-03"
"586","s15e02","Unidentified Flailing Octopus","2024-12-05"
"587","s15e03","Bad Luck Bob","2024-12-11"
"588","s15e04","The Sandman Cometh","2024-12-13"
"589","s15e05","Biscuit Ballyhoo","2024-12-15"
"590","s15e06","Student Driver Survivor","2024-12-17"
"591","s15e07","Wiener Takes All","2024-12-19"
"592","s15e08","Stuck in an Elevator","2024-12-24"
"593","s15e09","Squidness Protection","2025-02-14"
"594","s15e10","Dome Alone","2025-02-14"
"595","s15e11","Wary Gary","2025-02-21"
"596","s15e12","Pinned","2025-02-21"
"597","s15e13","Jeffy T's Prankwell Emporium","2025-02-28"
"598","s15e14","A Taste of Plankton","2025-02-28"
"599","s15e15","Smartificial Intelligence","2025-03-07"
"600","s15e16","Firehouse Bob","2025-03-07"
"601","s15e17","Pablum Plankton","2025-03-14"
"602","s15e18","MuseBob ModelPants","2025-03-14"
"603","s15e19","Delivery of Doom","2025-06-06"
"604","s15e20","My Father the Boat","2025-06-06"
"605","s15e21","Who's Afraid of Mr. Snippers?","2025-06-13"
"606","s15e22","A Fish Called Sandy","2025-06-13"
"607","s15e23","Making Waves","2025-06-20"
"608","s15e24","Captain Quasar: The Next Iteration","2025-06-20"
"609","s16e01","SpongeBob and Patrick's Timeline Twist-Up","2025-06-27"
"610","s16e02","Bizarro Bottom","2025-09-12"
"611","s16e03","Squidward's Tough Break","2025-09-12"
"612","s16e04","Curse of the WereDoodle","2025-09-19"
"613","s16e05","Gorilla Suit Day","2025-09-19"
"614","s16e06","Exchange Student Driver","2025-09-26"
"615","s16e07","The Kreepy Krab","2025-09-26"
"616","s16e08","The Haunted Bucket","2025-10-03"
"617","s16e09","Go Fetch!","2025-10-03"
"618","s16e10","Laundro-Madness","2025-10-10"
"619","s16e11","Hog Huntin","2025-10-17"
"620","s16e12","SpongeBob TrashPants","2025-10-24"
"621","s16e13","Krusty Kafeteria","2025-10-24"
"622","s16e14","Heart of Garbage","2025-11-07"
"623","s16e15","Near-Mint Plankton","2025-11-07"
"624","s16e16","Pardon My Wand","2025-11-14"
"625","s16e17","Stupor-stition","2025-11-14"
"626","s16e18","Pigskin Pearl","2025-11-28"
"627","s16e19","The Green Tentacle","2025-12-05"
"628","s16e20","Happy Krabby Birthday","2025-12-05"
"629","s16e21","Karate Pals","2025-12-12"
"630","s16e22","Karen's Klatch","2025-12-12"
"631","s17e01","The Nerds",""
"632","s17e02","The SquarePants Method",""
"633","s17e03","Kiss of the Nematode",""
"634","s17e04","Brainless Bawn",""
